"","season","id","name","position","team","conference","countablePlays","averagePPA.all","averagePPA.pass","averagePPA.rush"
"1",2015,551918,"Lee McNeill","QB","Charlotte","Conference USA",220,-0.185,-0.152,-0.549
"2",2015,513330,"Max Wittek","QB","Hawai'i","Mountain West",258,-0.059,-0.094,0.611
"3",2015,3125858,"George Bollas","QB","Kent State","Mid-American",203,-0.036,-0.069,0.04
"4",2015,3924327,"Drew Lock","QB","Missouri","SEC",313,-0.001,-0.045,0.449
"5",2015,3915317,"Billy Bahl","QB","Miami (OH)","Mid-American",258,0.013,0.003,0.14
"6",2015,512806,"Chuckie Keeton","QB","Utah State","Mountain West",246,0.033,-0.003,0.197
"7",2015,546184,"Johnny McCrary","QB","Vanderbilt","SEC",336,0.036,-0.012,0.296
"8",2015,3917958,"Ryan Willis","QB","Kansas","Big 12",365,0.038,0.018,0.287
"9",2015,3123209,"Shuler Bentley","QB","Old Dominion","Conference USA",312,0.044,0.025,0.254
"10",2015,3914500,"DaMarcus Smith","QB","North Texas","Conference USA",299,0.045,-0.061,0.342
"11",2015,3124037,"Dalton Sturm","QB","UT San Antonio","Conference USA",338,0.049,0.062,0.014
"12",2015,534317,"Perry Hills","QB","Maryland","Big Ten",285,0.053,-0.105,0.388
"13",2015,3124529,"Kilton Anderson","QB","Fresno State","Mountain West",206,0.079,-0.013,0.462
"14",2015,551184,"Justin Holman","QB","UCF","American Athletic",295,0.08,0.024,0.437
"15",2015,551230,"Kurt Palandech","QB","UNLV","Mountain West",234,0.089,-0.032,0.43
"16",2015,3116188,"David Blough","QB","Purdue","Big Ten",357,0.098,0.053,0.391
"17",2015,518271,"Blake Frohnapfel","QB","UMass","FBS Independents",530,0.099,0.081,0.327
"18",2015,550876,"Jaquez Johnson","QB","Florida Atlantic","Conference USA",335,0.107,0.113,0.089
"19",2015,545757,"Tanner Lee","QB","Tulane","American Athletic",298,0.11,0.127,-0.861
"20",2015,534652,"Wes Lunt","QB","Illinois","Big Ten",500,0.115,0.114,0.242
"21",2015,511552,"Derrius Vick","QB","Ohio","Mid-American",339,0.131,0.188,-0.079
"22",2015,511969,"Sam B. Richardson","QB","Iowa State","Big 12",245,0.142,0.136,0.178
"23",2015,3124092,"John Wolford","QB","Wake Forest","ACC",306,0.143,0.114,0.291
"24",2015,534770,"Austin Appleby","QB","Purdue","Big Ten",261,0.149,0.136,0.206
"25",2015,3918634,"Cody Clements","QB","South Alabama","Sun Belt",403,0.151,0.155,0.131
"26",2015,548240,"Tyler Jones","QB","Texas State","Sun Belt",469,0.161,0.13,0.256
"27",2015,3124944,"Garrett Smith","QB","Louisiana Monroe","Sun Belt",439,0.163,0.206,-0.023
"28",2015,530944,"Patrick Towles","QB","Kentucky","SEC",402,0.164,0.114,0.513
"29",2015,531104,"Justin Thomas","QB","Georgia Tech","ACC",313,0.165,0.215,0.088
"30",2015,531430,"Jalen Nixon","QB","Louisiana","Sun Belt",200,0.169,0.023,0.526
"31",2015,3121647,"Treon Harris","QB","Florida","SEC",322,0.172,0.119,0.396
"32",2015,3128843,"Alex McGough","QB","Florida International","Conference USA",465,0.178,0.163,0.287
"33",2015,552329,"Christian Hackenberg","QB","Penn State","Big Ten",425,0.181,0.155,0.535
"34",2015,3915468,"Riley Neal","QB","Ball State","Mid-American",475,0.188,0.162,0.319
"35",2015,3116144,"Clayton Thorson","QB","Northwestern","Big Ten",391,0.189,0.095,0.558
