"","V1","season","id","name","position","team","conference","countablePlays","averagePPA.all","averagePPA.pass","averagePPA.rush"
"1",81,2015,547343,"Karson Roberts","QB","Air Force","Mountain West",311,0.307,0.45,0.172
"2",304,2017,4038186,"Arion Worthman","QB","Air Force","Mountain West",322,0.233,0.258,0.216
"3",649,2019,4382332,"Donald Hammond III","QB","Air Force","Mountain West",231,0.57,0.665,0.476
"4",48,2015,550357,"Thomas Woodson","QB","Akron","Mid-American",415,0.233,0.258,0.169
"5",208,2016,550357,"Thomas Woodson","QB","Akron","Mid-American",278,0.308,0.343,-0.013
"6",265,2017,4038741,"Kato Nelson","QB","Akron","Mid-American",235,0.09,0.104,0.062
"7",277,2017,550357,"Thomas Woodson","QB","Akron","Mid-American",308,0.138,0.15,0.007
"8",419,2018,4038741,"Kato Nelson","QB","Akron","Mid-American",467,0.177,0.194,0.119
"9",531,2019,4038741,"Kato Nelson","QB","Akron","Mid-American",385,0.051,0.028,0.165
"10",85,2015,514124,"Jake Coker","QB","Alabama","SEC",466,0.315,0.328,0.206
"11",200,2016,4040715,"Jalen Hurts","QB","Alabama","SEC",569,0.286,0.258,0.352
"12",353,2017,4040715,"Jalen Hurts","QB","Alabama","SEC",402,0.337,0.262,0.499
"13",523,2018,4241479,"Tua Tagovailoa","QB","Alabama","SEC",358,0.572,0.592,0.414
"14",652,2019,4241479,"Tua Tagovailoa","QB","Alabama","SEC",274,0.71,0.699,0.936
"15",743,2020,4241464,"Mac Jones","QB","Alabama","SEC",436,0.683,0.687,0.597
"16",124,2015,548447,"Taylor Lamb","QB","Appalachian State","Sun Belt",358,0.489,0.481,0.521
"17",206,2016,548447,"Taylor Lamb","QB","Appalachian State","Sun Belt",376,0.299,0.223,0.633
"18",371,2017,548447,"Taylor Lamb","QB","Appalachian State","Sun Belt",408,0.404,0.332,0.766
"19",517,2018,4036429,"Zac Thomas","QB","Appalachian State","Sun Belt",343,0.461,0.41,0.639
"20",633,2019,4036429,"Zac Thomas","QB","Appalachian State","Sun Belt",461,0.381,0.354,0.501
"21",703,2020,4036429,"Zac Thomas","QB","Appalachian State","Sun Belt",378,0.309,0.272,0.468
"22",92,2015,552097,"Anu Solomon","QB","Arizona","Pac-12",393,0.35,0.335,0.456
"23",234,2016,3133993,"Brandon Dawkins","QB","Arizona","Pac-12",273,0.383,0.193,0.707
"24",385,2017,4039602,"Khalil Tate","QB","Arizona","Pac-12",327,0.502,0.392,0.653
"25",511,2018,4039602,"Khalil Tate","QB","Arizona","Pac-12",287,0.423,0.443,0.314
"26",580,2019,4039602,"Khalil Tate","QB","Arizona","Pac-12",350,0.271,0.222,0.466
"27",56,2015,517393,"Mike Bercovici","QB","Arizona State","Pac-12",635,0.249,0.266,0.121
"28",164,2016,3128814,"Manny Wilkins","QB","Arizona State","Pac-12",438,0.203,0.185,0.268
"29",326,2017,3128814,"Manny Wilkins","QB","Arizona State","Pac-12",541,0.271,0.266,0.291
"30",488,2018,3128814,"Manny Wilkins","QB","Arizona State","Pac-12",500,0.334,0.332,0.342
"31",593,2019,4426348,"Jayden Daniels","QB","Arizona State","Pac-12",468,0.301,0.294,0.326
"32",126,2015,515915,"Brandon Allen","QB","Arkansas","SEC",425,0.534,0.547,0.414
"33",241,2016,547206,"Austin Allen","QB","Arkansas","SEC",461,0.414,0.433,0.147
"34",317,2017,4035584,"Cole Kelley","QB","Arkansas","SEC",202,0.251,0.209,0.436
"35",348,2017,547206,"Austin Allen","QB","Arkansas","SEC",221,0.321,0.331,0.212
"36",423,2018,3886621,"Ty Storey","QB","Arkansas","SEC",314,0.189,0.176,0.258
"37",709,2020,4034948,"Feleipe Franks","QB","Arkansas","SEC",339,0.316,0.398,0.036
"38",37,2015,538156,"Fredi Knighten","QB","Arkansas State","Sun Belt",392,0.202,0.211,0.184
"39",214,2016,3116379,"Justice Hansen","QB","Arkansas State","Sun Belt",415,0.318,0.357,0.093
"40",332,2017,3116379,"Justice Hansen","QB","Arkansas State","Sun Belt",616,0.29,0.274,0.376
"41",502,2018,3116379,"Justice Hansen","QB","Arkansas State","Sun Belt",470,0.385,0.4,0.325
"42",630,2019,4361222,"Layne Hatcher","QB","Arkansas State","Sun Belt",385,0.376,0.396,0.245
"43",711,2020,4036473,"Logan Bonner","QB","Arkansas State","Sun Belt",294,0.332,0.355,0.021
"44",734,2020,4361222,"Layne Hatcher","QB","Arkansas State","Sun Belt",236,0.465,0.529,0.041
"45",158,2016,3129089,"Ahmad Bradshaw","QB","Army","FBS Independents",250,0.186,-0.02,0.298
"46",368,2017,3129089,"Ahmad Bradshaw","QB","Army","FBS Independents",284,0.387,-0.053,0.466
"47",519,2018,4036923,"Kelvin Hopkins Jr.","QB","Army","FBS Independents",296,0.471,0.793,0.328
"48",572,2019,4036923,"Kelvin Hopkins Jr.","QB","Army","FBS Independents",216,0.254,0.036,0.384
"49",91,2015,550019,"Jeremy Johnson","QB","Auburn","SEC",200,0.349,0.289,0.616
"50",217,2016,3121585,"Sean White","QB","Auburn","SEC",262,0.335,0.3,0.522
"51",335,2017,3892775,"Jarrett Stidham","QB","Auburn","SEC",463,0.292,0.295,0.27
"52",452,2018,3892775,"Jarrett Stidham","QB","Auburn","SEC",439,0.262,0.288,0.058
"53",585,2019,4567218,"Bo Nix","QB","Auburn","SEC",471,0.288,0.276,0.348
"54",690,2020,4567218,"Bo Nix","QB","Auburn","SEC",464,0.245,0.196,0.455
"55",34,2015,3915468,"Riley Neal","QB","Ball State","Mid-American",475,0.188,0.162,0.319
"56",160,2016,3915468,"Riley Neal","QB","Ball State","Mid-American",516,0.19,0.15,0.337
"57",255,2017,546005,"Jack Milas","QB","Ball State","Mid-American",249,-0.14,-0.158,0.005
"58",455,2018,3915468,"Riley Neal","QB","Ball State","Mid-American",415,0.266,0.172,0.722
"59",603,2019,4039210,"Drew Plitt","QB","Ball State","Mid-American",458,0.313,0.312,0.318
"60",714,2020,4039210,"Drew Plitt","QB","Ball State","Mid-American",283,0.347,0.334,0.411
"61",127,2015,535511,"Seth Russell","QB","Baylor","Big 12",249,0.674,0.643,0.808
"62",194,2016,4035409,"Zach Smith","QB","Baylor","Big 12",218,0.272,0.285,0.052
