"","V1","Team","STR","PRE","PE","NFP","Year"
"1",1,"Tennessee",1.31,0.08,0.14,9.6,2015
"2",2,"Marshall",1.08,0.02,0.23,4.9,2015
"3",3,"San Diego State",0.91,-0.07,0.19,7.1,2015
"4",4,"North Carolina",0.89,0.1,0.04,3.3,2015
"5",5,"Kansas State",0.87,0.07,0.12,2.3,2015
"6",6,"Ohio State",0.75,0.03,0.26,8.5,2015
"7",7,"Stanford",0.72,-0.04,0.15,8,2015
"8",8,"Virginia Tech",0.68,0.06,0.19,2.1,2015
"9",9,"Wisconsin",0.61,-0.04,0.06,4.7,2015
"10",10,"Eastern Michigan",0.6,0.05,0.14,-0.8,2015
"11",11,"Washington",0.6,0.11,0.12,2.7,2015
"12",12,"Duke",0.6,-0.1,0.19,6.7,2015
"13",13,"Florida International",0.6,0.04,-0.05,0.6,2015
"14",14,"Texas",0.59,0.12,0.14,-0.8,2015
"15",15,"Memphis",0.55,-0.01,0.17,3.3,2015
"16",16,"Texas A&M",0.55,0.06,0.28,2.3,2015
"17",17,"Notre Dame",0.53,-0.01,0.16,1.6,2015
"18",18,"East Carolina",0.51,-0.05,0.17,1.9,2015
"19",19,"Utah",0.5,0.06,0.28,3.7,2015
"20",20,"Houston",0.48,-0.06,0.15,3.3,2015
"21",21,"Rutgers",0.45,0.17,0,-4.4,2015
"22",22,"Alabama",0.45,0.06,0,4.4,2015
"23",23,"Texas Tech",0.44,-0.12,0.05,-0.3,2015
"24",24,"Michigan",0.44,0.06,0.03,5.5,2015
"25",25,"Western Kentucky",0.41,-0.09,0,3.1,2015
"26",26,"Arkansas State",0.4,-0.05,0.16,8,2015
"27",27,"Western Michigan",0.39,-0.16,0.21,0.9,2015
"28",28,"Florida Atlantic",0.33,-0.21,0.24,0.3,2015
"29",29,"Nebraska",0.31,-0.06,0.17,-1.1,2015
"30",30,"Wake Forest",0.3,-0.14,0.29,-1.4,2015
"31",31,"Syracuse",0.29,-0.1,0.14,2.2,2015
"32",32,"Temple",0.28,0.05,0.09,4.7,2015
