"","V1.x","Team","STR","PRE","PE","NFP","Year","V1.y","id","name","position","conference.x","countablePlays","averagePPA.all","averagePPA.pass","averagePPA.rush","V1","conference.y","offense.ppa","offense.totalPPA","offense.successRate","offense.explosiveness","offense.pointsPerOpportunity","offense.fieldPosition.averageStart","offense.fieldPosition.averagePredictedPoints","defense.ppa","defense.totalPPA","defense.successRate","defense.explosiveness","defense.stuffRate","defense.pointsPerOpportunity","defense.fieldPosition.averageStart","defense.fieldPosition.averagePredictedPoints","F_Rank","F_Plus","FEI","FEI_Rank","SP","SP_Rank","WP","FPI","FPI_Rank","Talent","Talent_rank","Difference_FPI","Difference_SP"
"1",1,"Tennessee",1.31,0.08,0.14,9.6,2015,82,546540,"Joshua Dobbs","QB","SEC",487,0.307,0.241,0.501,100,"SEC",0.171353766856647,172.21053569093,0.445771144278607,1.17431726137049,3.67676767676768,67.3,1.619,0.115676013202887,104.918143975019,0.373759647188534,1.23772399838423,0.2,2.95522388059702,75.3,-1.045,10,1.38,0.75,7,19.5,12,0.692,20.5,9,810.53,12,3,0
"2",2,"Marshall",1.08,0.02,0.23,4.9,2015,53,3931782,"Chase Litton","QB","Conference USA",429,0.243,0.259,0.039,54,"Conference USA",0.138279752360755,134.822758551736,0.433846153846154,1.10337519295483,3.40229885057471,67.4,1.652,0.0254698231745439,25.5462326440675,0.387836490528415,1.1052936984491,0.180582524271845,2.39506172839506,74.2,-1.118,68,0.07,0,68,3.5,64,0.769,2.6,68,489.77,72,4,8
"3",3,"San Diego State",0.91,-0.07,0.19,7.1,2015,58,517427,"Maxwell Smith","QB","Mountain West",229,0.255,0.292,-0.211,89,"Mountain West",0.203930757158582,191.083119457591,0.437566702241195,1.15366331697518,3.77894736842105,67.1,1.612,0.00814333866665921,7.01955793066023,0.364269141531323,1.19369090610066,0.239277652370203,2.390625,73,-1.169,47,0.45,0.23,47,8,48,0.786,6.3,53,494.77,70,17,22
"4",4,"North Carolina",0.89,0.1,0.04,3.3,2015,105,516347,"Marquise Williams","QB","ACC",507,0.383,0.335,0.513,71,"ACC",0.356351506218273,336.752173376268,0.502645502645503,1.31713546110778,4.39622641509434,68.4,1.522,0.188892595407292,210.426351283723,0.466786355475763,1.10445742334739,0.134052388289676,3.12244897959184,71.7,-1.258,9,1.38,0.73,8,20,9,0.786,17,16,683.03,26,10,17
"5",5,"Kansas State",0.87,0.07,0.12,2.3,2015,45,517248,"Joe Hubener","QB","Big 12",450,0.223,0.163,0.335,45,"Big 12",0.139889659696334,124.361907470041,0.435320584926884,1.08410666031226,4.33766233766234,66.9,1.635,0.231777199805725,219.724785415828,0.473628691983122,1.17713114129852,0.191536748329621,3.76086956521739,69.7,-1.446,70,0.04,0,67,2.6,69,0.462,5.2,60,503.64,67,7,-2
"6",6,"Ohio State",0.75,0.03,0.26,8.5,2015,50,534294,"Cardale Jones","QB","Big Ten",234,0.237,0.304,0.009,77,"Big Ten",0.247982059555271,220.952015063746,0.492704826038159,1.17679494394119,3.85263157894737,66.5,1.673,0.0334633182709586,30.3512296717595,0.350606394707828,1.20026228193442,0.185267857142857,2.71186440677966,73.8,-1.154,2,1.89,0.89,5,29.5,1,0.923,26.2,2,907.32,3,1,2
"7",6,"Ohio State",0.75,0.03,0.26,8.5,2015,78,545624,"J.T. Barrett","QB","Big Ten",257,0.297,0.129,0.532,77,"Big Ten",0.247982059555271,220.952015063746,0.492704826038159,1.17679494394119,3.85263157894737,66.5,1.673,0.0334633182709586,30.3512296717595,0.350606394707828,1.20026228193442,0.185267857142857,2.71186440677966,73.8,-1.154,2,1.89,0.89,5,29.5,1,0.923,26.2,2,907.32,3,1,2
"8",7,"Stanford",0.72,-0.04,0.15,8,2015,123,516357,"Kevin Hogan","QB","Pac-12",386,0.481,0.481,0.483,96,"Pac-12",0.30864124618257,289.196847673068,0.509071504802561,1.16130100971673,4.37931034482759,67.9,1.553,0.162776637628373,152.684486095413,0.425373134328358,1.17914849830149,0.213942307692308,3.3943661971831,72.6,-1.227,6,1.65,0.91,3,22.8,6,0.857,21.4,7,765.98,18,11,12
"9",8,"Virginia Tech",0.68,0.06,0.19,2.1,2015,39,530541,"Brenden Motley","QB","ACC",251,0.21,0.214,0.202,120,"ACC",0.136799805715958,130.780614264456,0.433054393305439,1.13491232339305,3.58620689655172,67.5,1.585,0.150030850063503,130.526839555248,0.379310344827586,1.39887919827004,0.244813278008299,3.40277777777778,72.3,-1.216,46,0.54,0.17,53,11.4,31,0.538,9.5,38,658.38,32,-6,1
"10",8,"Virginia Tech",0.68,0.06,0.19,2.1,2015,67,514481,"Michael Brewer","QB","ACC",251,0.273,0.286,0.132,120,"ACC",0.136799805715958,130.780614264456,0.433054393305439,1.13491232339305,3.58620689655172,67.5,1.585,0.150030850063503,130.526839555248,0.379310344827586,1.39887919827004,0.244813278008299,3.40277777777778,72.3,-1.216,46,0.54,0.17,53,11.4,31,0.538,9.5,38,658.38,32,-6,1
