"","V1.x","Team","STR","PRE","PE","NFP","Year","V1.y","conference","offense.ppa","offense.totalPPA","offense.successRate","offense.explosiveness","offense.pointsPerOpportunity","offense.fieldPosition.averageStart","offense.fieldPosition.averagePredictedPoints","defense.ppa","defense.totalPPA","defense.successRate","defense.explosiveness","defense.stuffRate","defense.pointsPerOpportunity","defense.fieldPosition.averageStart","defense.fieldPosition.averagePredictedPoints","F_Rank","F_Plus","FEI","FEI_Rank","SP","SP_Rank","WP","FPI","FPI_Rank","Talent","Talent_rank","Difference_FPI","Difference_SP"
"1",9,"Wisconsin",0.61,-0.04,0.06,4.7,2015,127,"Big Ten",0.12705221884831,119.55613793626,0.437832093517535,1.09078851146096,3.83333333333333,65,1.784,0.0238864526561783,18.9419569563494,0.331651954602774,1.18426240004467,0.204359673024523,2.06060606060606,68.5,-1.524,21,0.95,0.47,25,15.1,22,0.769,13.9,26,635.77,37,11,15
"2",15,"Memphis",0.55,-0.01,0.17,3.3,2015,56,"American Athletic",0.2514894723354,262.303519645822,0.466922339405561,1.21126073374786,4.18947368421053,67.2,1.634,0.158757337173337,152.72455836075,0.422037422037422,1.23666748572954,0.202755905511811,3.83333333333333,73.7,-1.12,42,0.58,0.36,37,8,47,0.692,7.7,46,381.8,96,50,49
"3",48,"Appalachian State",0.12,-0.16,0.16,-1.8,2015,4,"Sun Belt",0.267052087589932,241.148035093709,0.46843853820598,1.28794331292615,4.2906976744186,68.6,1.556,0.00948132084765928,8.33408102509251,0.374288964732651,1.11143490274309,0.199561403508772,2.5,68.8,-1.497,48,0.43,0.21,49,7.9,49,0.846,5.4,57,312.88,120,63,71
"4",72,"UCF",-0.04,-0.19,0.23,-2.4,2015,109,"American Athletic",-0.0301812843569563,-23.8130333576385,0.359949302915082,1.08964811051238,2.32203389830508,70.9,1.33,0.274815662162995,237.715547770991,0.447398843930636,1.37021910954326,0.223382045929019,3.90526315789474,68.5,-1.517,123,-1.68,-1.1,126,-15.5,113,0,-19,125,484.54,73,-52,-40
"5",94,"Iowa State",-0.29,-0.06,0,-3.2,2015,43,"Big 12",0.14054067197101,128.313633509532,0.430449069003286,1.16416855107939,3.32467532467532,70.9,1.337,0.236951487847228,210.175969720491,0.473506200676437,1.17087179750375,0.182432432432432,3.51898734177215,69.9,-1.452,80,-0.2,-0.14,83,-0.3,77,0.25,0.6,79,529.12,62,-17,-15
"6",129,"Memphis",1.41,-0.1,0.3,5.9,2016,184,"American Athletic",0.247232683227637,241.546331513401,0.455475946775844,1.33094547461952,3.77669902912621,67.3,1.609,0.186810950747704,192.041657368639,0.446498054474708,1.1986035861351,0.180914512922465,3.44047619047619,72.6,-1.207,41,0.57,0.34,33,7.7,49,0.615,5.9,52,451.24,79,27,30
"7",141,"Iowa State",0.63,-0.06,0.22,2.7,2016,171,"Big 12",0.211630632616977,183.060497213685,0.452023121387283,1.19112874126976,3.75641025641026,71.4,1.31,0.242449645694359,223.05367403881,0.480434782608696,1.16131243047569,0.17029702970297,4.45945945945946,72,-1.261,67,-0.1,-0.08,70,0.7,66,0.25,1.1,66,552.17,56,-10,-10
"8",167,"Appalachian State",0.28,-0.01,0.06,2.1,2016,132,"Sun Belt",0.19099865552337,162.730854505912,0.455399061032864,1.1528485120564,3.58333333333333,69.5,1.467,0.0384102902725929,30.4593601861662,0.379571248423707,1.1188234759235,0.190201729106628,2.84210526315789,72.6,-1.217,50,0.46,0.16,51,9.2,43,0.769,4.6,54,333.36,119,65,76
"9",172,"UCF",0.18,-0.1,0.03,-4.8,2016,237,"American Athletic",0.073016719062033,65.8610805939537,0.373614190687361,1.24734985965074,3.1375,67.5,1.624,-0.0238369840463733,-22.3590910354981,0.356076759061834,1.21842604235275,0.216326530612245,2.47126436781609,66.2,-1.702,68,-0.15,-0.01,66,-2.2,76,0.462,-0.3,73,510.27,69,-4,-7
"10",197,"Wisconsin",-0.07,-0.13,0,5.9,2016,255,"Big Ten",0.156712140438766,156.085291877011,0.456827309236948,1.08413744068691,3.76595744680851,68.7,1.515,0.0428633176404912,37.1196330766654,0.387990762124711,1.09840344496249,0.213541666666667,2.40845070422535,73.3,-1.18,12,1.32,0.79,8,16.1,16,0.786,17.8,12,643.76,37,25,21
"11",266,"UCF",0.64,-0.04,0.16,5.8,2017,367,"American Athletic",0.353952175430091,328.467618799124,0.485991379310345,1.40864224493679,4.09259259259259,64.9,1.822,0.134120471098839,129.560375081479,0.385093167701863,1.42202781575264,0.2,3,70.7,-1.398,14,1.22,0.82,11,14.1,22,1,13.8,15,571.52,55,40,33
"12",268,"Memphis",0.54,-0.09,0.13,2.5,2017,313,"American Athletic",0.343568817138018,325.016101012565,0.456659619450317,1.50669983517005,4.22448979591837,68.3,1.537,0.199440502852439,209.013646989356,0.431297709923664,1.33727197481542,0.2015065913371,3.67021276595745,69.9,-1.44,30,0.67,0.47,25,7.8,42,0.769,8.9,30,507.97,70,40,28
