"","V1.x","Team","STR","PRE","PE","NFP","Year","V1.y","conference","offense.ppa","offense.totalPPA","offense.successRate","offense.explosiveness","offense.pointsPerOpportunity","offense.fieldPosition.averageStart","offense.fieldPosition.averagePredictedPoints","defense.ppa","defense.totalPPA","defense.successRate","defense.explosiveness","defense.stuffRate","defense.pointsPerOpportunity","defense.fieldPosition.averageStart","defense.fieldPosition.averagePredictedPoints","F_Rank","F_Plus","FEI","FEI_Rank","SP","SP_Rank","WP","FPI","FPI_Rank","Talent","Talent_rank","Difference_FPI","Difference_SP"
"1",1,"Tennessee",1.31,0.08,0.14,9.6,2015,100,"SEC",0.171353766856647,172.21053569093,0.445771144278607,1.17431726137049,3.67676767676768,67.3,1.619,0.115676013202887,104.918143975019,0.373759647188534,1.23772399838423,0.2,2.95522388059702,75.3,-1.045,10,1.38,0.75,7,19.5,12,0.692,20.5,9,810.53,12,3,0
"2",29,"Nebraska",0.31,-0.06,0.17,-1.1,2015,67,"Big Ten",0.205874048072244,199.286078533932,0.447314049586777,1.26761451138973,3.85858585858586,69.5,1.478,0.144906239392588,129.401271777581,0.394176931690929,1.36606653399392,0.235127478753541,3.66666666666667,69,-1.486,41,0.6,0.26,46,11.1,33,0.462,9.4,39,699.89,24,-15,-9
"3",41,"Florida State",0.2,-0.18,0.22,0.9,2015,32,"ACC",0.222063440085991,189.642177833436,0.454332552693208,1.25689792223558,3.71910112359551,67.1,1.608,0.0891046417649731,83.6692586173097,0.381256656017039,1.17391545538674,0.179824561403509,2.80281690140845,73.2,-1.164,8,1.42,0.64,15,23.2,5,0.769,18,13,889.92,4,-9,-1
"4",87,"UCLA",-0.21,-0.16,0.04,0.7,2015,110,"Pac-12",0.224368597991615,220.554331825757,0.462868769074262,1.2555387116418,4.01086956521739,68.7,1.534,0.112003139782188,118.275315609991,0.439393939393939,1.00783226098686,0.140287769784173,3.15555555555556,70.8,-1.342,20,1,0.37,35,18.6,16,0.615,14.7,20,793.22,14,-6,-2
"5",90,"Arkansas",-0.24,-0.12,0.07,3.8,2015,7,"SEC",0.334556749753885,299.093734279973,0.504474272930649,1.25035982466494,4.43529411764706,68.9,1.44,0.241127932308717,204.958742462409,0.478823529411765,1.1497665665783,0.218997361477573,4.02777777777778,72.4,-1.242,14,1.31,0.69,13,19.2,14,0.615,17.4,14,695.04,25,11,11
"6",160,"Nebraska",0.34,-0.05,-0.01,1.2,2016,195,"Big Ten",0.126883991743952,117.748344338388,0.428879310344828,1.200452274417,3.7375,68.6,1.502,0.130893473490449,113.222854569238,0.423121387283237,1.19463101991401,0.203931203931204,3.13698630136986,68,-1.583,44,0.56,0.22,45,10.3,38,0.692,7,48,691.61,26,-22,-12
"7",163,"Arkansas",0.33,-0.1,0.33,-1.7,2016,135,"SEC",0.202054751261311,187.91091867302,0.438709677419355,1.29936494790248,3.59302325581395,71.5,1.334,0.237455735510227,194.951158853896,0.451887941534714,1.3466734916601,0.173396674584323,3.58024691358025,70.5,-1.382,48,0.48,0.24,44,7.9,47,0.538,6.3,50,689.41,27,-23,-20
"8",165,"Tennessee",0.32,-0.16,0.2,5.3,2016,228,"SEC",0.22751581715498,202.944108902243,0.4652466367713,1.26622220993189,3.3695652173913,65.3,1.742,0.18152585758504,179.529073151605,0.433771486349848,1.21114212735334,0.217391304347826,2.62637362637363,71.3,-1.3,20,0.97,0.4,25,16.3,15,0.692,15.5,17,813.92,14,-3,-1
"9",238,"Florida State",-0.48,-0.27,-0.13,-1.7,2016,160,"ACC",0.269954409979303,256.186735070358,0.481559536354057,1.24626669217184,4.14141414141414,69.8,1.452,0.111051520389182,96.2816681774209,0.381776239907728,1.31105058729245,0.208436724565757,3.20481927710843,68.3,-1.494,9,1.54,0.69,12,24,7,0.769,22.2,8,906.64,4,-4,-3
"10",245,"UCLA",-0.69,-0.08,-0.05,-2.9,2016,238,"Pac-12",0.141042570475451,118.898886910805,0.385527876631079,1.32625069775766,3.36111111111111,70.6,1.373,0.0740878686673087,70.9761781832817,0.41231732776618,1.03536243554549,0.163865546218487,3.35443037974684,67.7,-1.579,52,0.41,0.11,55,9.1,44,0.333,7.9,43,819.16,12,-31,-32
