Rk,Team,Rec,STR,KRE,Rk,KE,Rk,PRE,Rk,PE,Rk,FGE,Rk,OFG,Rk,OFP,Rk,DFP,Rk,NFP,Rk
1,Memphis,7-5,1.41,.25,5,.11,1,-.10,62,.30,7,.38,26,.49,5,67.7,16,73.7,8,5.9,10
2,Stanford,10-3,1.10,.12,26,.01,28,-.07,50,.32,3,.44,17,.51,4,67.4,12,75.2,2,7.8,3
3,Michigan,10-3,1.00,.00,90,.05,9,.18,3,.17,38,.05,63,.64,1,63.7,1,73.3,10,9.6,1
4,Western Kentucky,10-3,.95,.38,2,.00,36,.05,14,.18,34,.02,73,-.26,90,66.6,5,71.8,38,5.2,15
5,USC,10-3,.94,.27,3,.04,12,.09,8,.01,95,.39,23,-.01,52,70.1,51,71.9,34,1.8,36
6,BYU,8-4,.92,.03,72,.04,11,-.09,56,.31,5,.29,35,.57,3,67.7,14,74.2,4,6.6,7
7,Idaho,8-4,.88,-.01,95,.05,8,.25,1,.16,42,.51,12,-.11,65,66.2,4,73.9,7,7.8,2
8,Iowa,8-4,.75,.21,8,.06,3,.16,4,.09,62,-.15,93,-.19,80,67.0,7,74.0,6,7.0,5
9,North Carolina,6-5,.74,.15,17,-.01,43,-.14,87,.23,17,.39,24,.29,17,71.9,95,71.5,48,-.4,71
10,Texas A&M,7-5,.71,.13,24,.01,27,.06,11,.26,13,-.14,92,.02,46,71.2,75,70.7,65,-.5,74
11,San Diego State,10-3,.69,.38,1,.02,19,-.10,65,.08,73,.58,8,-.56,120,67.2,10,73.5,9,6.3,8
12,Georgia Tech,8-4,.67,.08,49,.05,4,-.04,38,.06,79,.51,13,.28,18,71.5,83,71.1,57,-.4,72
13,Iowa State,3-8,.63,.14,20,.01,32,-.06,47,.22,19,.52,11,-.19,83,70.5,56,73.1,14,2.7,27
14,Arizona State,4-7,.61,.03,75,-.07,77,-.10,66,.29,8,1.03,1,-.05,59,69.8,44,71.5,49,1.7,38
15,Florida,9-4,.60,.05,60,-.02,55,-.14,89,.20,26,.64,5,.34,12,70.0,49,71.9,33,1.9,35
16,Utah,8-4,.56,.14,19,-.08,80,-.10,63,.31,6,.41,21,-.10,63,69.0,27,74.8,3,5.8,11
17,Georgia Southern,4-7,.53,-.04,110,-.05,66,.12,7,.08,67,.72,4,.09,35,72.8,113,68.1,110,-4.7,114
18,Minnesota,8-4,.53,.24,6,.02,25,-.12,78,.11,58,.60,6,-.39,105,66.2,3,71.5,46,5.4,13
19,Troy,9-3,.51,.12,31,.09,2,.03,17,.16,41,.05,61,-.39,106,65.9,2,73.0,16,7.1,4
20,Air Force,9-3,.45,.12,28,-.08,82,.05,12,.13,50,.31,33,-.10,62,68.4,19,71.0,58,2.6,28
21,Ohio State,11-2,.42,.20,9,-.07,75,-.17,98,.31,4,.03,68,-.11,66,67.7,15,72.3,30,4.6,17
22,Maryland,5-7,.41,.06,57,-.01,45,.05,13,.10,60,-.44,114,.47,6,71.8,93,67.2,114,-4.7,113
23,Auburn,7-5,.39,-.03,105,.01,33,-.03,30,.18,32,.86,3,-.35,102,72.2,104,73.1,15,.9,49
24,Kansas State,8-4,.39,.12,30,.03,17,-.13,81,.22,20,.17,48,-.19,81,69.7,41,73.1,13,3.4,23
25,Ohio,7-6,.39,.04,71,-.06,70,-.11,72,.23,16,.44,16,.07,40,68.8,23,69.4,90,.7,52
26,Temple,9-4,.37,.04,67,-.13,102,.00,23,.13,48,.37,29,.31,16,67.0,8,70.5,72,3.5,22
27,Fresno State,0-11,.37,.00,89,.04,14,-.04,33,.01,97,.55,9,.13,33,72.5,107,68.9,97,-3.6,107
28,Boston College,6-6,.37,.11,37,.02,26,-.12,77,.08,70,-.13,91,.43,8,68.3,18,68.3,106,.0,65
29,Pittsburgh,7-5,.37,.19,10,-.02,52,.01,20,.07,76,.15,49,-.30,93,70.8,64,71.1,56,.3,60
30,Florida Atlantic,2-9,.36,.10,39,.05,6,-.22,114,.17,39,.14,50,.15,31,70.9,69,71.6,44,.7,53
31,Penn State,11-3,.36,.04,65,.00,41,-.05,40,.18,35,.37,30,-.18,76,67.2,9,71.5,50,4.3,18
32,Nebraska,9-4,.34,.06,55,.04,16,-.05,39,-.01,107,.41,20,.08,38,70.5,57,71.7,43,1.2,45
33,Wake Forest,6-6,.33,.01,86,-.01,46,-.13,86,.12,55,.27,38,.42,10,69.0,26,71.1,55,2.1,32
34,Akron,4-7,.33,.11,35,-.14,106,.24,2,-.03,109,.46,15,-.32,99,71.3,77,69.1,95,-2.2,93
35,Arkansas,6-6,.33,-.01,100,-.11,96,-.10,67,.33,2,.21,45,.22,25,71.9,94,70.2,80,-1.7,85
36,Northern Illinois,5-6,.32,.19,11,-.04,60,-.16,92,.05,84,-.42,113,.64,2,69.9,47,69.6,88,-.3,68
37,Tennessee,8-4,.32,.12,25,.00,35,-.16,96,.20,25,.05,58,-.05,58,67.5,13,72.8,18,5.3,14
38,Miami,8-4,.29,-.01,98,-.07,74,-.06,44,.26,12,.42,18,-.10,64,71.0,70,71.7,39,.7,51
39,Appalachian State,10-3,.28,.10,38,-.02,53,-.01,26,.06,78,.00,74,.02,45,69.7,43,71.8,36,2.1,33
40,Washington State,8-4,.27,.04,69,-.05,63,.13,5,.01,100,-.34,111,.31,15,70.2,52,72.4,28,2.2,31
41,Eastern Michigan,6-6,.26,-.03,104,-.07,76,-.10,68,.25,15,.25,41,.21,29,72.4,105,72.7,21,.3,61
