season,id,name,position,team,conference,countablePlays,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
2017,546005,Jack Milas,QB,Ball State,Mid-American,249,-0.14,-0.158,0.005,-0.134,-0.306,0.023,-0.182,-0.084,-34.742,-34.887,0.145,-12.305,-22.963,1.741,-25.626,-9.116
2017,3139889,Hasaan Klugh,QB,Charlotte,Conference USA,422,-0.029,-0.175,0.359,-0.075,0.002,-0.042,-0.153,0.119,-12.056,-53.69,41.634,-11.17,0.314,-5.271,-35.037,22.981
2017,3125858,George Bollas,QB,Kent State,Mid-American,283,-0.023,-0.041,0.019,-0.035,-0.063,0.147,-0.079,0.04,-6.594,-8.217,1.623,-3.422,-5.697,12.216,-11.934,5.34
2017,3917957,Carter Stanley,QB,Kansas,Big 12,235,-0.003,0.004,-0.034,-0.123,0.102,0.035,-0.024,0.025,-0.664,0.78,-1.444,-10.479,8.146,2.288,-3.224,2.559
2017,4036215,Max Bortenschlager,QB,Maryland,Big Ten,302,0.001,-0.016,0.101,-0.308,0.141,0.284,-0.173,0.178,0.401,-4.03,4.431,-33.291,13.238,25.246,-26.351,26.752
2017,3728285,Demry Croft,QB,Minnesota,Big Ten,201,0.019,-0.153,0.414,-0.404,0.208,0.322,-0.146,0.194,3.899,-21.368,25.267,-28.699,14.559,18.374,-15.076,18.975
2017,3914395,James Morgan,QB,Bowling Green,Mid-American,234,0.02,0.003,0.253,0.003,-0.241,0.472,-0.087,0.17,4.744,0.688,4.056,0.228,-19.538,27.851,-11.893,16.637
2017,4239134,David Pindell,QB,Connecticut,American Athletic,230,0.04,-0.014,0.179,-0.058,0.208,0.014,0.035,0.047,9.274,-2.383,11.657,-5.071,16.186,0.824,4.673,4.601
2017,4036850,Montel Aaron,QB,San José State,Mountain West,269,0.065,0.04,0.294,-0.232,0.232,0.18,-0.045,0.198,17.528,9.587,7.941,-18.59,23.159,14.735,-6.682,24.21
2017,3139423,Cole Garvin,QB,South Alabama,Sun Belt,263,0.079,0.104,-0.179,0.021,-0.03,0.247,0.046,0.122,20.864,24.976,-4.112,1.953,-2.679,18.262,6.743,14.121
2017,4038741,Kato Nelson,QB,Akron,Mid-American,235,0.09,0.104,0.062,0.008,0.173,0.233,0.08,0.105,21.245,16.598,4.647,0.878,11.088,13.731,11.141,10.104
2017,3861927,Jeff George Jr.,QB,Illinois,Big Ten,208,0.1,0.11,-0.071,0.001,-0.233,0.502,0.049,0.184,20.866,21.646,-0.781,0.112,-12.342,32.608,6.347,14.519
2017,545645,Kurt Benkert,QB,Virginia,ACC,571,0.109,0.104,0.166,-0.112,0.114,0.447,-0.005,0.292,61.976,55.669,6.307,-24.258,21.418,67.068,-1.892,63.868
2017,546603,Damian Williams,QB,Texas State,Sun Belt,384,0.11,0.114,0.095,0.013,0.136,0.245,0.051,0.189,42.261,34.282,7.979,1.809,18.867,23.793,11.087,31.174
2017,3917792,Daniel Jones,QB,Duke,ACC,611,0.112,0.034,0.379,-0.024,0.188,0.246,0.058,0.196,68.27,15.976,52.294,-6.203,33.713,38.686,21.854,46.416
2017,3791146,Elijah Sindelar,QB,Purdue,Big Ten,342,0.113,0.112,0.122,-0.144,0.194,0.429,-0.121,0.439,38.585,36.638,1.947,-21.347,20.203,35.995,-24.136,62.721
2017,4035312,Anthony Brown,QB,Boston College,ACC,301,0.114,0.051,0.569,0.014,0.036,0.209,0.103,0.123,34.456,13.418,21.037,1.117,3.435,24.288,13.555,20.901
2017,545796,Tanner Mangum,QB,BYU,FBS Independents,291,0.115,0.135,-0.112,-0.008,0.03,0.411,0.022,0.267,33.554,36.134,-2.58,-0.862,2.695,32.475,3.904,29.65
2017,3127261,Peyton Bender,QB,Kansas,Big 12,298,0.127,0.134,-0.112,-0.228,0.013,0.47,-0.037,0.335,37.969,38.863,-0.895,-23.947,1.153,45.127,-6.202,44.171
2017,3125353,Kent Myers,QB,Utah State,Mountain West,277,0.13,0.036,0.471,-0.107,0.29,0.199,0.031,0.277,36.096,7.822,28.274,-11.512,26.094,14.703,5.09,31.006
