"","season","id","name","position","team","conference","countablePlays","averagePPA.all","averagePPA.pass","averagePPA.rush","averagePPA.firstDown","averagePPA.secondDown","averagePPA.thirdDown","averagePPA.standardDowns","averagePPA.passingDowns","totalPPA.all","totalPPA.pass","totalPPA.rush","totalPPA.firstDown","totalPPA.secondDown","totalPPA.thirdDown","totalPPA.standardDowns","totalPPA.passingDowns"
"1",2015,551918,"Lee McNeill","QB","Charlotte","Conference USA",220,-0.185,-0.152,-0.549,-0.167,-0.24,-0.002,-0.232,-0.142,-40.624,-30.744,-9.88,-11.554,-17.025,-0.12,-24.31,-16.314
"2",2015,513330,"Max Wittek","QB","Hawai'i","Mountain West",258,-0.059,-0.094,0.611,-0.331,-0.018,0.27,-0.178,0.089,-15.124,-23.064,7.94,-32.815,-1.322,20.24,-25.415,10.291
"3",2015,3125858,"George Bollas","QB","Kent State","Mid-American",203,-0.036,-0.069,0.04,-0.273,-0.002,0.223,-0.091,0.044,-7.271,-9.754,2.483,-20.992,-0.132,13.386,-10.895,3.624
"4",2015,3924327,"Drew Lock","QB","Missouri","SEC",313,-0.001,-0.045,0.449,-0.102,0.081,0.116,0.032,-0.036,-0.329,-12.906,12.577,-11.046,8.264,10.511,5.117,-5.446
"5",2015,3915317,"Billy Bahl","QB","Miami (OH)","Mid-American",258,0.013,0.003,0.14,0.034,-0.033,0.12,0.033,-0.009,3.436,0.775,2.66,3.447,-2.206,10.062,4.476,-1.04
"6",2015,512806,"Chuckie Keeton","QB","Utah State","Mountain West",246,0.033,-0.003,0.197,-0.145,-0.042,0.367,-0.114,0.218,8.126,-0.535,8.661,-13.23,-3.23,26.058,-15.591,23.717
"7",2015,546184,"Johnny McCrary","QB","Vanderbilt","SEC",336,0.036,-0.012,0.296,-0.141,-0.081,0.365,-0.062,0.174,12.105,-3.275,15.38,-17.961,-7.878,37.205,-12.119,24.224
"8",2015,3917958,"Ryan Willis","QB","Kansas","Big 12",365,0.038,0.018,0.287,-0.17,-0.193,0.512,-0.133,0.235,14.032,6.006,8.027,-19.569,-24.687,57.839,-25.906,39.939
"9",2015,3123209,"Shuler Bentley","QB","Old Dominion","Conference USA",312,0.044,0.025,0.254,-0.166,0.074,0.416,-0.012,0.121,13.63,7.273,6.357,-20.36,7.422,31.231,-2.128,15.757
"10",2015,3914500,"DaMarcus Smith","QB","North Texas","Conference USA",299,0.045,-0.061,0.342,-0.207,0.129,0.216,0.002,0.095,13.505,-13.526,27.032,-23.135,12.5,16.869,0.366,13.139
"11",2015,3124037,"Dalton Sturm","QB","UT San Antonio","Conference USA",338,0.049,0.062,0.014,-0.11,-0.041,0.542,-0.059,0.21,16.519,15.18,1.339,-14.23,-4.548,48.742,-11.885,28.404
"12",2015,534317,"Perry Hills","QB","Maryland","Big Ten",285,0.053,-0.105,0.388,0.006,-0.061,0.219,0.032,0.083,14.964,-20.312,35.276,0.681,-5.229,16.657,5.48,9.484
"13",2015,3124529,"Kilton Anderson","QB","Fresno State","Mountain West",206,0.079,-0.013,0.462,-0.049,-0.129,0.442,0.089,0.066,16.314,-2.153,18.467,-3.877,-8.398,24.78,10.4,5.914
"14",2015,551184,"Justin Holman","QB","UCF","American Athletic",295,0.08,0.024,0.437,-0.064,0.229,0.08,0.023,0.152,23.717,6.232,17.484,-6.167,22.182,7.514,3.85,19.867
"15",2015,551230,"Kurt Palandech","QB","UNLV","Mountain West",234,0.089,-0.032,0.43,-0.205,0.29,0.264,-0.128,0.305,20.72,-5.505,26.225,-14.988,22.6,19.803,-14.938,35.658
"16",2015,3116188,"David Blough","QB","Purdue","Big Ten",357,0.098,0.053,0.391,-0.132,0.053,0.475,0.05,0.159,34.855,16.496,18.359,-15.419,6.223,47.952,9.976,24.879
"17",2015,518271,"Blake Frohnapfel","QB","UMass","FBS Independents",530,0.099,0.081,0.327,-0.026,0.106,0.418,0.007,0.228,52.489,40.072,12.417,-5.348,17.227,58.533,2.161,50.328
"18",2015,550876,"Jaquez Johnson","QB","Florida Atlantic","Conference USA",335,0.107,0.113,0.089,-0.124,0.263,0.327,0.02,0.241,35.725,28.243,7.482,-16.393,25.211,29.749,4.176,31.549
"19",2015,545757,"Tanner Lee","QB","Tulane","American Athletic",298,0.11,0.127,-0.861,-0.427,0.279,0.457,-0.152,0.346,32.869,37.176,-4.307,-39.668,28.473,45.74,-21.377,54.246
"20",2015,534652,"Wes Lunt","QB","Illinois","Big Ten",500,0.115,0.114,0.242,-0.022,0.151,0.286,0.049,0.203,57.523,56.314,1.209,-4.379,22.362,40.845,14.005,43.518
"21",2015,511552,"Derrius Vick","QB","Ohio","Mid-American",339,0.131,0.188,-0.079,-0.197,0.165,0.567,-0.078,0.431,44.439,50.113,-5.674,-24.683,19.259,51.072,-15.501,59.94
"22",2015,511969,"Sam B. Richardson","QB","Iowa State","Big 12",245,0.142,0.136,0.178,0.057,-0.042,0.388,0.115,0.17,34.705,29.187,5.518,4.306,-3.502,29.068,14.61,20.095
"23",2015,3124092,"John Wolford","QB","Wake Forest","ACC",306,0.143,0.114,0.291,-0.243,0.423,0.374,-0.013,0.346,43.795,28.946,14.849,-28.891,41.045,32.169,-2.177,45.972
"24",2015,534770,"Austin Appleby","QB","Purdue","Big Ten",261,0.149,0.136,0.206,-0.242,0.319,0.317,0.057,0.284,38.775,29.29,9.485,-22.982,29.339,19.655,8.941,29.834
"25",2015,3918634,"Cody Clements","QB","South Alabama","Sun Belt",403,0.151,0.155,0.131,0.153,-0.043,0.449,0.067,0.228,60.894,53.18,7.714,17.406,-6.738,58.336,13.018,47.876
"26",2015,548240,"Tyler Jones","QB","Texas State","Sun Belt",469,0.161,0.13,0.256,-0.044,0.081,0.531,0.03,0.349,75.496,46.083,29.413,-7.805,12.242,66.892,8.158,67.338
"27",2015,3124944,"Garrett Smith","QB","Louisiana Monroe","Sun Belt",439,0.163,0.206,-0.023,-0.02,0.095,0.366,0.059,0.313,71.53,73.463,-1.933,-3.191,13.516,44.973,15.469,56.062
"28",2015,530944,"Patrick Towles","QB","Kentucky","SEC",402,0.164,0.114,0.513,-0.055,0.01,0.538,0.02,0.361,65.918,40.261,25.657,-8.581,1.165,61.282,4.57,61.348
"29",2015,531104,"Justin Thomas","QB","Georgia Tech","ACC",313,0.165,0.215,0.088,0.064,0.319,0.133,0.098,0.246,51.608,40.792,10.815,7.742,29.387,11.559,16.899,34.709
"30",2015,531430,"Jalen Nixon","QB","Louisiana","Sun Belt",200,0.169,0.023,0.526,-0.056,0.222,0.33,0.135,0.221,33.738,3.224,30.514,-4.506,12.425,17.796,16.293,17.445
"31",2015,3121647,"Treon Harris","QB","Florida","SEC",322,0.172,0.119,0.396,0.013,0.205,0.339,0.141,0.21,55.518,30.997,24.521,1.587,19.275,31.484,24.483,31.035
"32",2015,3128843,"Alex McGough","QB","Florida International","Conference USA",465,0.178,0.163,0.287,0.096,0.059,0.521,0.14,0.245,82.766,66.14,16.626,18.7,7.874,64.601,41.647,41.118
"33",2015,552329,"Christian Hackenberg","QB","Penn State","Big Ten",425,0.181,0.155,0.535,0.138,0.102,0.286,0.09,0.297,76.94,61.422,15.518,22.201,13.213,34.927,21.456,55.484
"34",2015,3915468,"Riley Neal","QB","Ball State","Mid-American",475,0.188,0.162,0.319,0.164,0.058,0.416,0.126,0.28,89.236,64.37,24.865,29.778,8.645,54.905,35.684,53.552
"35",2015,3116144,"Clayton Thorson","QB","Northwestern","Big Ten",391,0.189,0.095,0.558,-0.121,0.013,0.53,0.006,0.401,73.76,29.642,44.117,-13.578,1.593,82.092,1.264,72.496
"36",2015,549956,"Bryant Shirreffs","QB","Connecticut","American Athletic",427,0.199,0.17,0.272,0.088,0.197,0.41,0.138,0.28,84.912,52.248,32.664,13.473,27.018,50.811,33.931,50.981
"37",2015,538156,"Fredi Knighten","QB","Arkansas State","Sun Belt",392,0.202,0.211,0.184,-0.014,0.191,0.546,0.029,0.489,79.356,56.909,22.447,-2.12,24.048,60.562,6.974,72.381
"38",2015,531051,"Travis Wilson","QB","Utah","Pac-12",450,0.206,0.191,0.248,0.156,0.036,0.449,0.2,0.214,92.754,63.71,29.045,25.614,5.534,55.672,53.51,39.245
"39",2015,530541,"Brenden Motley","QB","Virginia Tech","ACC",251,0.21,0.214,0.202,0.096,0.284,0.281,0.169,0.264,52.774,38.233,14.541,9.092,24.182,18.294,24.229,28.545
"40",2015,549759,"P.J. Walker","QB","Temple","American Athletic",512,0.21,0.244,-0.027,-0.006,0.138,0.577,0.02,0.426,107.374,109.113,-1.739,-1.064,23.619,84.227,5.487,101.887
"41",2015,3116460,"Skyler Howard","QB","West Virginia","Big 12",560,0.217,0.209,0.245,0.124,0.143,0.471,0.169,0.303,121.631,90.32,31.311,26.877,26.718,69.285,61.011,60.62
"42",2015,512191,"Jacoby Brissett","QB","NC State","ACC",530,0.218,0.179,0.372,0.059,0.113,0.478,0.208,0.231,115.593,75.787,39.805,11.726,17.95,72.602,63.752,51.84
