"","Team","Rec","STR","KRE","KE","PRE","PE","FGE","OFG","OFP","DFP","NFP","Year"
"1","Tennessee","8-4",1.31,0.38,0.1,0.08,0.14,-0.14,0.3,66.5,76.1,9.6,2015
"2","Marshall","9-3",1.08,0.37,0.04,0.02,0.23,-0.23,0.15,67.2,72.2,4.9,2015
"3","San Diego State","10-3",0.91,0.35,0.01,-0.07,0.19,0.17,0.03,66.1,73.2,7.1,2015
"4","North Carolina","9-3",0.89,0.15,-0.01,0.1,0.04,0.52,0.26,68.4,71.7,3.3,2015
"5","Kansas State","5-7",0.87,0.3,0,0.07,0.12,0.43,-0.36,67.8,70.1,2.3,2015
"6","Ohio State","12-1",0.75,0.08,0.07,0.03,0.26,-0.3,0.23,67,75.5,8.5,2015
"7","Stanford","12-2",0.72,0.32,-0.06,-0.04,0.15,0.55,-0.35,66.6,74.6,8,2015
"8","Virginia Tech","6-6",0.68,0.03,-0.03,0.06,0.19,0.53,0.01,67.8,69.9,2.1,2015
"9","Wisconsin","10-3",0.61,0.11,-0.01,-0.04,0.06,-0.03,0.73,67.2,71.9,4.7,2015
"10","Eastern Michigan","1-11",0.6,0.01,-0.07,0.05,0.14,0.44,0.33,70.5,69.7,-0.8,2015
"11","Washington","6-6",0.6,0.13,-0.04,0.11,0.12,0.1,-0.01,68.2,70.9,2.7,2015
"12","Duke","7-5",0.6,0.42,-0.13,-0.1,0.19,0.48,-0.45,66.6,73.3,6.7,2015
"13","Florida International","4-7",0.6,0.13,0.1,0.04,-0.05,0.09,0.21,69.9,70.5,0.6,2015
"14","Texas","5-7",0.59,0,0.02,0.12,0.14,0.27,-0.06,70.5,69.7,-0.8,2015
"15","Memphis","8-4",0.55,0.06,0.07,-0.01,0.17,0.39,-0.31,70.1,73.5,3.3,2015
"16","Texas A&M","7-5",0.55,-0.08,0.02,0.06,0.28,0.23,-0.06,70.2,72.4,2.3,2015
"17","Notre Dame","10-3",0.53,0.02,-0.03,-0.01,0.16,0.47,0.13,71.4,73,1.6,2015
"18","East Carolina","4-7",0.51,-0.01,0.01,-0.05,0.17,0.3,0.28,70.4,72.3,1.9,2015
"19","Utah","10-3",0.5,-0.06,-0.07,0.06,0.28,0.55,-0.14,68.2,71.8,3.7,2015
"20","Houston","12-1",0.48,0.17,0.06,-0.06,0.15,-0.04,-0.12,69.8,73.1,3.3,2015
"21","Rutgers","3-8",0.45,0.17,-0.1,0.17,0,0.12,-0.04,72.5,68.1,-4.4,2015
"22","Alabama","13-1",0.45,0.08,0.08,0.06,0,-0.03,0.02,68.6,73,4.4,2015
"23","Texas Tech","6-6",0.44,0.06,-0.1,-0.12,0.05,0.35,0.82,71.3,71,-0.3,2015
"24","Michigan","10-3",0.44,0.24,-0.04,0.06,0.03,0.1,-0.25,66.8,72.3,5.5,2015
"25","Western Kentucky","12-2",0.41,0.15,-0.05,-0.09,0,0.56,0.17,68.8,71.8,3.1,2015
"26","Arkansas State","8-4",0.4,0.23,-0.03,-0.05,0.16,-0.06,-0.19,65.3,73.3,8,2015
"27","Western Michigan","7-5",0.39,0.12,0.04,-0.16,0.21,0.05,-0.03,70,70.9,0.9,2015
"28","Florida Atlantic","3-9",0.33,0.04,0.02,-0.21,0.24,-0.16,0.46,70.1,70.4,0.3,2015
"29","Nebraska","6-7",0.31,-0.02,-0.04,-0.06,0.17,0.38,0.08,70.6,69.5,-1.1,2015
"30","Wake Forest","2-9",0.3,-0.01,-0.01,-0.14,0.29,-0.23,0.37,73,71.6,-1.4,2015
"31","Syracuse","3-8",0.29,0.09,-0.01,-0.1,0.14,0.15,0.01,68.1,70.4,2.2,2015
"32","Temple","10-4",0.28,0.11,-0.07,0.05,0.09,0.3,-0.32,66.9,71.6,4.7,2015
"33","BYU","8-4",0.28,-0.02,0.05,-0.09,0.01,0.25,0.32,71.7,69.5,-2.2,2015
"34","Arizona","6-6",0.27,-0.02,-0.04,-0.04,0.18,0.31,-0.05,70,70.4,0.4,2015
"35","Ball State","2-9",0.25,0.21,-0.02,-0.08,0.08,0.05,-0.25,70.7,70.6,-0.1,2015
"36","Mississippi State","8-4",0.23,-0.01,0.02,0.06,-0.03,0.25,-0.06,70.8,72.1,1.2,2015
"37","Auburn","6-6",0.22,0.14,0,-0.01,0.02,0.52,-0.65,69.7,69.7,0,2015
"38","South Carolina","3-8",0.22,0.06,-0.01,-0.08,0.23,0.11,-0.41,69.5,73,3.5,2015
"39","Georgia Southern","8-4",0.21,0.09,0.08,0.02,0.01,-0.11,-0.27,65.4,72.1,6.6,2015
"40","Colorado State","6-6",0.21,0.06,-0.1,0.1,0.19,-0.05,-0.34,70.2,71.9,1.8,2015
"41","Florida State","9-3",0.2,0.09,0.03,-0.18,0.22,0.3,-0.45,72.4,73.3,0.9,2015
"42","Troy","3-8",0.19,-0.03,0.09,-0.01,0.07,0.08,-0.23,69.8,68.1,-1.7,2015
"43","Akron","7-5",0.19,0,0.02,-0.18,0.16,-0.01,0.3,70,71.7,1.7,2015
"44","TCU","10-2",0.19,0.11,0,-0.17,0.14,0.43,-0.38,69.5,71.9,2.4,2015
"45","Georgia Tech","2-9",0.16,0.01,-0.04,0.03,0.03,0.42,-0.26,71.4,67.9,-3.6,2015
"46","Northwestern","9-3",0.15,0.22,-0.14,-0.1,0.14,-0.33,0.23,72.5,69.3,-3.2,2015
"47","Central Michigan","6-6",0.15,0.06,-0.19,-0.12,0.14,0,0.69,70.3,70.1,-0.2,2015
"48","Appalachian State","10-2",0.12,-0.05,-0.06,-0.16,0.16,0.43,0.17,70.5,68.7,-1.8,2015
"49","Georgia","9-3",0.12,-0.06,0.01,0.12,0.1,-0.24,-0.19,67.9,72.1,4.2,2015
"50","Northern Illinois","7-6",0.12,0.14,-0.01,-0.11,-0.05,0.22,0,69,67.5,-1.5,2015
"51","Arizona State","5-7",0.12,0.14,-0.02,-0.07,0.1,0.09,-0.44,68.7,71.8,3.2,2015
"52","Texas State","2-9",0.1,0.07,-0.11,-0.12,0.28,-0.19,0.05,71,72.8,1.7,2015
"53","Oklahoma State","9-3",0.1,0.06,-0.12,-0.03,0.15,0.02,0.01,68.8,72.9,4.1,2015
"54","Indiana","5-7",0.08,-0.04,-0.03,-0.06,0.06,0.31,0.01,71.1,71,-0.1,2015
"55","Oregon","8-4",0.08,0.18,-0.01,-0.03,-0.2,0.42,-0.22,67.6,69.1,1.4,2015
"56","Pittsburgh","7-5",0.08,0.14,-0.02,-0.01,0.18,0.01,-0.83,70.4,74.2,3.8,2015
"57","North Texas","1-10",0.08,0.02,0,0.04,0.08,-0.2,-0.2,70.6,70.8,0.2,2015
"58","Nevada","6-6",0.07,0.1,-0.11,-0.23,0.1,0.48,0.11,74,68.3,-5.7,2015
"59","Rice","4-7",0.05,-0.03,0.02,-0.05,0.02,-0.58,0.65,71.9,70.8,-1.1,2015
